epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.052,1.3826,1.97012,1.1993,0.38613,0.32234,0.24061,0.09032,2.02252,5.84623,1.36438,0.000413194,0.000413194,0.000413194
2,368.133,1.28493,1.05182,1.19713,0.61913,0.34298,0.36208,0.15175,1.95618,1.38797,1.49779,0.000821645,0.000821645,0.000821645
3,599.668,1.27176,0.97907,1.21673,0.62663,0.32553,0.34273,0.14788,1.99279,1.41096,1.45445,0.00122185,0.00122185,0.00122185
4,818.823,1.21965,0.88144,1.19631,0.73866,0.36247,0.41955,0.16914,2.04923,1.59421,1.43567,0.00121287,0.00121287,0.00121287
5,1033.49,1.16239,0.81252,1.15188,0.62379,0.41558,0.42121,0.17869,1.94056,1.14812,1.48332,0.0012005,0.0012005,0.0012005
6,1264.4,1.13184,0.79516,1.12682,0.69021,0.33479,0.35586,0.1601,1.89665,1.0015,1.40702,0.00118812,0.00118812,0.00118812
7,1500.99,1.1392,0.79697,1.12921,0.68206,0.30146,0.31544,0.12892,2.1178,1.35552,1.54886,0.00117575,0.00117575,0.00117575
8,1721.98,1.10348,0.75442,1.1115,0.70927,0.42706,0.47485,0.23248,1.72662,0.97881,1.36546,0.00116337,0.00116337,0.00116337
9,1932.66,1.07117,0.71422,1.09772,0.82372,0.49054,0.56644,0.28817,1.69776,0.97068,1.38088,0.001151,0.001151,0.001151
10,2137.26,1.05112,0.70091,1.08655,0.76684,0.57562,0.63226,0.30263,1.68074,0.97212,1.35064,0.00113863,0.00113863,0.00113863
11,2350.08,1.05042,0.68647,1.08774,0.85381,0.60041,0.66339,0.29174,1.81052,0.9393,1.41029,0.00112625,0.00112625,0.00112625
12,2557.23,1.06925,0.68759,1.08917,0.72528,0.53953,0.59916,0.2955,1.67789,1.09421,1.40373,0.00111388,0.00111388,0.00111388
13,2757.91,1.00613,0.65181,1.05734,0.8377,0.65025,0.71224,0.34588,1.64301,0.8591,1.38626,0.0011015,0.0011015,0.0011015
14,2962.42,1.01733,0.65931,1.0638,0.79895,0.45128,0.51023,0.28692,1.46002,0.84768,1.3024,0.00108913,0.00108913,0.00108913
15,3148.34,0.97679,0.62526,1.02753,0.82609,0.67003,0.72665,0.37611,1.50369,0.81527,1.31381,0.00107675,0.00107675,0.00107675
16,3346.18,0.96229,0.63125,1.03871,0.79407,0.60084,0.65281,0.33502,1.59726,0.86128,1.34859,0.00106437,0.00106437,0.00106437
17,3538.36,0.9462,0.6132,1.02573,0.87871,0.71182,0.774,0.38421,1.60604,0.77095,1.36695,0.001052,0.001052,0.001052
18,3717.58,0.93778,0.59539,1.02777,0.80025,0.6947,0.71721,0.3394,1.74432,0.87317,1.34825,0.00103962,0.00103962,0.00103962
